"","Score","ProjPoints","Points","ActualPoints","PlayerId","FantasyResultId","PositionId","LineupCount","CurrentExposure","ExposureProbability","IsExposureLocked","FirstPosition","Positions","Position","TeamName","FullName","Cnt","Correlation","PositionCount","Salary","IsLocked","IsExcluded","Exposure","IsLiked","Properties.IsLocked","Properties.InjuryStatus","Properties.Confirmed","Properties.IsExcluded","Properties.Score","Properties.Player_Name","Properties.Salary","Properties.Position","Properties.Team","Properties.Opposing_TeamFB","Properties.Exp","Properties.AvgPts","Properties.Ceiling","Properties.Floor","Properties.ProjPlusMinus","Properties.PtVal","Properties.ImpPts","Properties.Trend","Properties.MyTrends","Properties.Site_Salary","Properties.p_own","Properties.OppPlusMinus","Properties.OffensiveSnapsPlayed","Properties.Pts","Properties.OppPts","Properties.Run_Change","Properties.Spread","Properties.Total","Properties.SpreadPct","Properties.InterceptionPct","Properties.PassingSuccessfulPct","Properties.RushingSuccessfulAllowedPct","Properties.SackPct","Properties.TakeawayPct","Properties.TouchdownAllowedPct","Properties.YardsPerPassingAttempt","Properties.ReceivingTargetsMarketShare","Properties.ReceivingTouchdownsMarketShare","Properties.ReceivingYardsMarketShare","Properties.RushingTouchdownsMarketShare","Properties.RushingYardsMarketShare","Properties.OffensiveSnapsMarketShare","Properties.PassingCompletions","Properties.PassingAttempts","Properties.PassYards","Properties.PassingCompletionPercentage","Properties.PassingYardsPerAttempt","Properties.AdjYPA","Properties.PassingTouchdowns","Properties.PassingRating","Properties.PassingLong","Properties.PassingAttemptsRBPct","Properties.PassingAttemptsWRPct","Properties.PassingAttemptsTEPct","Properties.PassTDPct","Properties.PassINTPct","Properties.PassSackPct","Properties.RushingAttempts","Properties.RushingLong","Properties.RushYards","Properties.RushingYardsPerAttempt","Properties.RushingTouchdowns","Properties.RushingSuccessfulPct","Properties.ReceiveTgts","Properties.Receptions","Properties.ReceivingYards","Properties.ReceivingLong","Properties.ReceivingYardsPerReception","Properties.ReceivingTouchdowns","Properties.ReceivingYardsPerTarget","Properties.RedZoneSnaps","Properties.OpportunitiesRedZone","Properties.OpportunitiesRedZone10","Properties.OpportunitiesRedZone5","Properties.RushingTouchdownsRedZonePct","Properties.ReceivingTouchdownsRedZonePct","Properties.RushingSuccessfulPctRedZone","Properties.RedZoneSnaps10","Properties.RedZoneSnaps5","Properties.RedZoneTouchdownPct","Properties.WeatherRating","Properties.Temperature","Properties.Wind_Speed","Properties.Wind_Direction","Properties.Humidity","Properties.PrecipProb","Properties.Month_PPG","Properties.Month_FPOpp","Properties.Month_FPSnap","Properties.Month_Salary_Change","Properties.Month_X1","Properties.Month_X2","Properties.Month_X0","Properties.Month_Count","Properties.Season_PPG","Properties.Season_FPOpp","Properties.Season_FPSnap","Properties.Season_Plus_Minus","Properties.Season_Salary_Change","Properties.Season_X1","Properties.Season_X2","Properties.Season_X0","Properties.Season_Count","Properties.ExpectedSacksPct","Properties.OppPlusMinusPct","Properties.ProjPlaysPct","Properties.MktShrPct","Properties.CeilingPct","Properties.ProjPct","Properties.PtPerDPct","Properties.FloorPct","Properties.FloorPtPerDPct","Properties.ProjPlusMinusPct","Properties.Vegas","Properties.Salary_Movement","Properties.Consistency","Properties.Upside","Properties.Pro_Pct","Properties.RushingFantasyPct","Properties.Plus_Minus","Properties.Season_PPG_Percentile","Properties.ActualPoints","Properties.SourceId","Properties.IsProjected","Properties.PositionId","Properties.PlayerId","Properties.EventTeamId","Properties.EventId","Properties.FantasyResultId","Properties.FullName"
"1","46.05","0","0","40.9","1674","449195","103","0","0","0","FALSE","WR","WR","WR","PIT","","0","0","1","8800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","46.05","Antonio Brown","8800","WR","PIT","CLE","-1","18.5","25","12","-3.31","2.1","19.28","9","0","2","2-4","0.4","61","25.3","18.3","2.5","-7","43.5","61","2.16","52.25","43.91","6.31","1.33","4.07","7.74","33","38.1","38.6","0","1.5","93.3","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","1","1","9.3","0","100","11","7","108","32","13.7","0.5","9.4","9.67","1.67","0.6","0.47",NA,"28",NA,"4.5","3.45","19.31","50","60","5","From Right","0.39","0","23.4","1.77","0.39","500","50","25","25","4","24.4","2.12","0.4","3.2","-100","33","46","20","15","39","32","79","90","94","94","49","94","35","21","81","13","91","71","98",NA,"86","98","40.9","4","TRUE","103","1674","29649002","2964900","449195",""
"2","65.45","0","0","33.3","2942","449342","103","0","0","0","FALSE","WR","WR","WR","ARI","","0","0","1","3800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","65.45","Michael Floyd","3800","WR","ARI","@SEA","-1","10.3","14.6","6","2.68","2.7","7.81","5","0","95","0-1","-2.4","49","20.3","23.3","-1","3","43.5","52","3.26","44.64","43.47","6.51","1.9","3.57","7.05","16.8","26.9","18.7","0","0","75.4","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"5","2","50","27","17.7","0.5","8.8","7.47","1.13","0.33","0.13",NA,"23.5",NA,"4","2.44","18.75","50","42","1","In","0.87","20","18.2","2.72","0.34","800","0","100","0","3","11.1","1.98","0.23","3.5","-2000","26","46","26","15","57","1","0","48","63","62","81","62","40","80","37","8","76","81","79",NA,"88","71","33.3","4","TRUE","103","2942","29649501","2964950","449342",""
"3","49.45","0","0","31.8","1758","449017","103","0","0","0","FALSE","WR","WR","WR","PIT","","0","0","1","5500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","49.45","Martavis Bryant","5500","WR","PIT","CLE","-1","11.7","16.4","7","-0.74","2.1","11.71","6","0","21","5-8","0.4","34","25.3","18.3","2.5","-7","43.5","61","2.16","52.25","43.91","6.31","1.33","4.07","7.74","15.3","40","17","0","2.4","50.4","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","3","3","7.5","0","75","5","2","50","34","17.9","0.6","9.7","9.67","1.1","0.5","0.1",NA,"27.3",NA,"4.5","3.45","19.31","50","60","5","From Right","0.39","0","17.8","2.1","0.41","1500","50","50","0","4","12.3","2.05","0.36","1.8","1500","20","40","40","10","39","32","79","53","71","70","49","70","32","40","81","2","55","71","87",NA,"74","76","31.8","4","TRUE","103","1758","29649002","2964900","449017",""
"4","68.8","0","0","29.4","1214","449202","103","0","0","0","FALSE","WR","WR","WR","SEA","","0","0","1","3400","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","68.8","Doug Baldwin","3400","WR","SEA","ARI","-1","9.1","13.1","5.1","2.62","2.7","6.9","5","0","91","0-1","0.7","51","23.3","20.3","-1","-3","43.5","48","2.3","42.63","44.38","10.14","1.26","2.5","6.24","20.3","22.2","20.8","0","0.3","76.3","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","8","0","100","5","3","48","24","12.4","0.3","9.1","5.43","0.73","0.27","0.07",NA,"27.3",NA,"3.8","2.5","18.42","50","42","1","In","0.87","20","5.2","1.21","0.12","-700","33","0","66","3","10.7","1.9","0.21","1.7","-1200","40","26","33","15","52","40","37","71","57","56","81","55","38","80","66","92","64","60","79",NA,"74","69","29.4","4","TRUE","103","1214","29649502","2964950","449202",""
"5","60.45","0","0","27.9","2255","449542","103","0","0","0","FALSE","WR","WR","WR","NO","","0","0","1","6000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","60.45","Brandin Cooks","6000","WR","NO","@WAS","-1","13.5","18.8","8.2","-0.36","2.3","12.86","6","0","27","9-12","2.7","62","26.5","25.5","1","-1","52","66","1.88","54.8","45.41","6.03","1.01","5.08","8.02","18.8","21.1","19.5","0","0.2","83","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","0.5","0","25","7","5","65","27","13.1","0.4","8.4","9.27","0.5","0.1","0","0","25","100","4.27","2.67","26.62","50","62","6","From Right","0.32","0","19.2","2.33","0.32","500","33","66","0","3","14.3","1.72","0.23","0","-1100","40","30","30","10","37","87","55","93","80","80","58","78","35","44","88","13","55","37","87",NA,"54","83","27.9","4","TRUE","103","2255","29648801","2964880","449542",""
"6","49.65","0","0","26","2918","449363","103","0","0","0","FALSE","WR","WR","WR","ARI","","0","0","1","7400","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","49.65","Larry Fitzgerald","7400","WR","ARI","@SEA","-1","17.1","23.3","10.9","-0.74","2.3","16.07","8","0","2","0-1","-2.4","60","20.3","23.3","-1","3","43.5","52","3.26","44.64","43.47","6.51","1.9","3.57","7.05","24.9","28","23.9","0","0","90.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","5","66","22","11.7","0.5","8.1","7.47","0.92","0.69","0.23",NA,"58.3",NA,"4","2.44","18.75","50","42","1","In","0.87","20","15.5","1.79","0.23","400","66","0","33","3","15.9","1.91","0.26","1.9","1900","61","15","23","13","57","1","0","68","92","92","58","91","38","40","37","16","76","30","96",NA,"76","87","26","4","TRUE","103","2918","29649501","2964950","449363",""
"7","63.35","0","0","23.6","2823","449106","103","0","0","0","FALSE","WR","WR","WR","TB","","0","0","1","6800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","63.35","Mike Evans","6800","WR","TB","DAL","-1","17.2","23.5","10.9","1.07","2.5","14.69","9","0","19",NA,"-0.1","48","21.3","22.3","-0.7","1","43.5","34","2.73","55.66","44.04","7.42","1.49","4.54","7.34","29.5","47.1","29.6","0","0","75.6","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","4","66","23","16.4","0.5","6.6","11","1.47","0.4","0.13",NA,"18.2",NA,"5.8","3.43","21.82","50","78","10","In","0.6","0","22.1","1.66","0.43","400","0","66","33","3","15.7","1.76","0.33","-0.2","-600","14","35","50","14","87","20","10","92","92","92","70","91","40","61","46","16","58","62","98",NA,"52","87","23.6","4","TRUE","103","2823","29648502","2964850","449106",""
"8","50.35","0","0","23.4","1343","449305","103","0","0","0","FALSE","WR","WR","WR","NYG","","0","0","1","8800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","50.35","Odell Beckham","8800","WR","NYG","NE","-1","20.1","27.2","13","-1.71","2.3","19.28","9","0","2",NA,"0.2","65","22.8","29.8","-1","7","52.5","31","2.85","52.26","48.57","6.7","1.68","3.93","7.63","30.6","50","37.3","0","0.9","93.8","0","0","0","0","0",NA,"0","2.5","0","0","100","0",NA,NA,NA,"0","0","0","2.3","0","33.3","11","7","105","38","13.6","1","9.1","8.19","2.19","0.69","0.31","0","29.4","0","4.67","2.77","16.79","50","54","4","Right To Left","0.45","0","22.8","2.28","0.36","-100","50","25","25","4","26.1","2.15","0.4","5.6","-400","37","43","18","16","68","26","64","98","97","97","58","97","38","31","61","75","91","75","98",NA,"95","99","23.4","4","TRUE","103","1343","29649302","2964930","449305",""
"9","64.25","0","0","20.6","1386","449193","103","0","0","0","FALSE","WR","WR","WR","CLE","","0","0","1","5200","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","64.25","Travis Benjamin","5200","WR","CLE","@PIT","-1","12.6","17.7","7.5","1.01","2.4","11.02","5","0","9","2-4","4","40","18.3","25.3","0","7","43.5","39","2.36","44.91","50.09","4.73","1.22","4.18","7.23","15.9","23.5","17.6","0","0","60.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"5","2","43","21","15.4","0.3","7.9","11","0.44","0.13","0.06",NA,"14.3",NA,"5.47","3.36","21.02","50","60","5","From Right","0.39","0","10.6","1.32","0.19","200","25","25","50","4","9.3","1.66","0.23","1.4","2200","50","18","31","16","45","98","21","54","76","75","64","74","35","61","17","22","49","44","79",NA,"72","62","20.6","4","TRUE","103","1386","29649001","2964900","449193",""
"10","80.15","0","0","20.5","2499","449129","103","0","0","0","FALSE","WR","WR","WR","NYJ","","0","0","1","5300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","80.15","Eric Decker","5300","WR","NYJ","BUF","-1","15.3","20.6","10","3.42","2.9","11.25","10","0","58","","0.9","52","22","19.5","-1.5","-2.5","41.5","55","2.65","48.27","44.83","7.13","1.56","3.46","6.86","22.5","33.3","29.6","0","0","76.4","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"7","4","70","27","14.7","0.5","8.7","8.85","1.5","0.79","0.29",NA,"38.1",NA,"4.58","2.73","13.04","50","55","7","Right To Left","0.83","1","17.1","1.95","0.29","400","25","75","0","4","16.3","2.29","0.31","5.2","-700","38","46","15","13","16","47","64","97","86","86","89","88","49","88","55","16","95","89","99",NA,"94","88","20.5","4","TRUE","103","2499","29648302","2964830","449129",""
