"","Score","ProjPoints","Points","ActualPoints","PlayerId","FantasyResultId","PositionId","LineupCount","CurrentExposure","ExposureProbability","IsExposureLocked","FirstPosition","Positions","Position","TeamName","FullName","Cnt","Correlation","PositionCount","Salary","IsLocked","IsExcluded","Exposure","IsLiked","Properties.IsLocked","Properties.InjuryStatus","Properties.Confirmed","Properties.IsExcluded","Properties.Score","Properties.Player_Name","Properties.Salary","Properties.Position","Properties.Team","Properties.Opposing_TeamFB","Properties.Exp","Properties.AvgPts","Properties.Ceiling","Properties.Floor","Properties.ProjPlusMinus","Properties.PtVal","Properties.ImpPts","Properties.Trend","Properties.MyTrends","Properties.Site_Salary","Properties.p_own","Properties.OppPlusMinus","Properties.OffensiveSnapsPlayed","Properties.Pts","Properties.OppPts","Properties.Run_Change","Properties.Spread","Properties.Total","Properties.SpreadPct","Properties.InterceptionPct","Properties.PassingSuccessfulPct","Properties.RushingSuccessfulAllowedPct","Properties.SackPct","Properties.TakeawayPct","Properties.TouchdownAllowedPct","Properties.YardsPerPassingAttempt","Properties.ReceivingTargetsMarketShare","Properties.ReceivingTouchdownsMarketShare","Properties.ReceivingYardsMarketShare","Properties.RushingTouchdownsMarketShare","Properties.RushingYardsMarketShare","Properties.OffensiveSnapsMarketShare","Properties.PassingCompletions","Properties.PassingAttempts","Properties.PassYards","Properties.PassingCompletionPercentage","Properties.PassingYardsPerAttempt","Properties.AdjYPA","Properties.PassingTouchdowns","Properties.PassingRating","Properties.PassingLong","Properties.PassingAttemptsRBPct","Properties.PassingAttemptsWRPct","Properties.PassingAttemptsTEPct","Properties.PassTDPct","Properties.PassINTPct","Properties.PassSackPct","Properties.RushingAttempts","Properties.RushingLong","Properties.RushYards","Properties.RushingYardsPerAttempt","Properties.RushingTouchdowns","Properties.RushingSuccessfulPct","Properties.ReceiveTgts","Properties.Receptions","Properties.ReceivingYards","Properties.ReceivingLong","Properties.ReceivingYardsPerReception","Properties.ReceivingTouchdowns","Properties.ReceivingYardsPerTarget","Properties.RedZoneSnaps","Properties.OpportunitiesRedZone","Properties.OpportunitiesRedZone10","Properties.OpportunitiesRedZone5","Properties.RushingTouchdownsRedZonePct","Properties.ReceivingTouchdownsRedZonePct","Properties.RushingSuccessfulPctRedZone","Properties.RedZoneSnaps10","Properties.RedZoneSnaps5","Properties.RedZoneTouchdownPct","Properties.WeatherRating","Properties.Temperature","Properties.Wind_Speed","Properties.Wind_Direction","Properties.Humidity","Properties.PrecipProb","Properties.Month_PPG","Properties.Month_FPOpp","Properties.Month_FPSnap","Properties.Month_Salary_Change","Properties.Month_X1","Properties.Month_X2","Properties.Month_X0","Properties.Month_Count","Properties.Season_PPG","Properties.Season_FPOpp","Properties.Season_FPSnap","Properties.Season_Plus_Minus","Properties.Season_Salary_Change","Properties.Season_X1","Properties.Season_X2","Properties.Season_X0","Properties.Season_Count","Properties.ExpectedSacksPct","Properties.OppPlusMinusPct","Properties.ProjPlaysPct","Properties.MktShrPct","Properties.CeilingPct","Properties.ProjPct","Properties.PtPerDPct","Properties.FloorPct","Properties.FloorPtPerDPct","Properties.ProjPlusMinusPct","Properties.Vegas","Properties.Salary_Movement","Properties.Consistency","Properties.Upside","Properties.Pro_Pct","Properties.RushingFantasyPct","Properties.Plus_Minus","Properties.Season_PPG_Percentile","Properties.ActualPoints","Properties.SourceId","Properties.IsProjected","Properties.PositionId","Properties.PlayerId","Properties.EventTeamId","Properties.EventId","Properties.FantasyResultId","Properties.FullName"
"1","43.35","0","0","21","8467","457075","105","0","0","0","FALSE","D","D","D","CAR","","0","0","1","3600","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","43.35","Carolina Defense","3600","D","CAR","@DAL","-1","7.9","14.5","1.3","-1.27","2.2","9.24","1","0","1","","-0.3",NA,"22.8","21.8","0.5","-1","44.5","68","3.51","42.81","39.65","8.42","2.21","3.18","6.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,"3.25","2.14","18.75","50","72","0","","0","0","10.8","0",NA,"400","0","100","0","4","11.1","0",NA,"3.2","500","26","73","0","15","10","46","55","90","66","76","40","90","51","39","61","13","88","69","14",NA,"94","92","21","4","TRUE","105","8467","29834401","2983440","457075",""
"2","72.1","0","0","17","8469","459595","105","0","0","0","FALSE","D","D","D","CIN","","0","0","1","3000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","72.1","Cincinnati Defense","3000","D","CIN","LA","-1","6.6","14.8","-1.6","-1.27","2.2","7.94","5","0","67",NA,"1.9",NA,"26.3","15.8","0.8","-10.5","42","59","3.7","48.52","44.11","6.3","2.3","3.44","7.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.67",NA,NA,NA,NA,NA,NA,"3.46","2.57","21.18","50","44","3","In","0.8","0","8.5","0",NA,"0","50","50","0","4","7.9","0",NA,"0.3","-200","53","40","6","15","29","78","55","35","70","50","40","2","61","39","86","55","63","29","80",NA,"62","59","17","4","TRUE","105","8469","29834802","2983480","459595",""
"3","74.6","0","0","16","8465","460384","105","0","0","0","FALSE","D","D","D","BAL","","0","0","1","2800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","74.6","Baltimore Defense","2800","D","BAL","@CLE","-1","6.7","13.5","-0.1","-0.74","2.4","7.51","1","0","67","0-1","3.5",NA,"17.5","23.5","-3","6","41","49","1.47","46.52","43.15","8.24","0.86","3.54","7.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.67",NA,NA,NA,NA,NA,NA,"3.57","2.44","16.92","50","42","6","In","0.74","0","7.7","0",NA,"-200","66","33","0","3","7.9","0",NA,"0","100","50","42","7","14","73","91","90","45","54","53","57","50","46","53","12","73","52","74","14",NA,"55","59","16","4","TRUE","105","8465","29835901","2983590","460384",""
"4","67.5","0","0","12","8480","459676","105","0","0","0","FALSE","D","D","D","MIN","","0","0","1","2300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","67.5","Minnesota Defense","2300","D","MIN","@ATL","-1","6.9","14.7","-0.9","0.55","3","6.42","4","0","93","0-1","1.1",NA,"21.5","23.5","0.2","2","45","63","1.71","45.73","49.63","6.45","0.98","3.01","6.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.73",NA,NA,NA,NA,NA,NA,"3.29","3","16.38","50","72","0",NA,"0","0","6","0",NA,"-800","25","50","25","4","8.2","0",NA,"0.6","-500","40","40","20","15","20","68","10","55","69","57","92","14","61","85","49","96","63","50","70",NA,"68","65","12","4","TRUE","105","8480","29834701","2983470","459676",""
"5","64.05","0","0","11","8476","459366","105","0","0","0","FALSE","D","D","D","IND","","0","0","1","2000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","64.05","Indianapolis Defense","2000","D","IND","TB","-1","6.4","13.6","-0.8","0.7","3.2","5.77","3","0","97","2-4","0.8",NA,"24.8","21.8","0","-3","46.5","35","2.96","44.55","43.28","4.99","1.64","4.29","7.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.86",NA,NA,NA,NA,NA,NA,"4.85","2.82","21.77","50","72","0","","0","0","9","0",NA,"-100","66","33","0","3","7.4","0",NA,"0.1","-900","40","46","13","15","86","64","72","33","55","46","96","18","61","86","77","64","78","50","58",NA,"58","51","11","4","TRUE","105","8476","29835002","2983500","459366",""
"6","70.4","0","0","11","8475","459830","105","0","0","0","FALSE","D","D","D","HOU","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","70.4","Houston Defense","2500","D","HOU","NO","-1","7.1","14.2","0","0.31","2.8","6.86","5","0","97","2-4","0.9",NA,"27","23.5","1.5","-3.5","50.5","63","3.2","43.23","41.35","8.08","1.89","3.88","6.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.8",NA,NA,NA,NA,NA,NA,"3.36","2.29","20.69","50","72","0","","0","0","14","0",NA,"-600","33","66","0","3","8.7","0",NA,"0.8","-500","26","53","20","15","68","65","97","52","63","61","84","54","46","82","90","94","88","69","80",NA,"72","73","11","4","TRUE","105","8475","29834602","2983460","459830",""
"7","21.2","0","0","10","8468","457134","105","0","0","0","FALSE","D","D","D","CHI","","0","0","1","2000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","21.2","Chicago Defense","2000","D","CHI","@GB","-1","3.1","6.8","-0.6","-2.6","1.6","5.77","1","0","87","","-2.3",NA,"18.8","26.3","-1.2","7.5","45","31","1.64","51.12","51.95","6.54","0.9","4.12","7.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.2",NA,NA,NA,NA,NA,NA,"4.31","2.44","21.74","50","35","10","In","0.93","78","6.5","0",NA,"-400","75","25","0","4","4.9","0",NA,"-1.9","-400","53","26","20","15","87","16","29","26","3","3","7","26","46","11","22","86","63","12","14",NA,"19","11","10","4","TRUE","105","8468","29834501","2983450","457134",""
"8","68.95","0","0","10","8463","459700","105","0","0","0","FALSE","D","D","D","ARI","","0","0","1","3900","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","68.95","Arizona Defense","3900","D","ARI","@SF","-1","10.3","19.4","1.2","0.47","2.6","9.9","7","0","16","13-16","1.4",NA,"26.3","18.8","-1.2","-7.5","45","80","3.14","45.02","44.77","5.35","1.87","4.15","7.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.33",NA,NA,NA,NA,NA,NA,"4.07","2.5","23.64","50","53","1","In","0.44","0","5.7","0",NA,"-100","66","0","33","3","8.1","0",NA,"-0.6","1100","26","46","26","15","52","73","64","53","98","98","73","87","48","84","86","64","32","50","94",NA,"43","64","10","4","TRUE","105","8463","29835601","2983560","459700",""
"9","36.6","0","0","10","8494","459841","105","0","0","0","FALSE","D","D","D","WAS","","0","0","1","2000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","36.6","Washington Defense","2000","D","WAS","NYG","-1","4.7","10.3","-0.9","-1","2.4","5.77","0","0","87","0-1","-1.3",NA,"23.3","24.3","0.5","1","47.5","22","1.83","52.14","48.31","5.5","1.01","4.97","8.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.21",NA,NA,NA,NA,NA,NA,"4.14","2.83","20.16","50","45","4","Out","0.91","9","7.7","0",NA,"-500","66","33","0","3","6.1","0",NA,"-0.5","-600","66","26","6","15","90","30","55","27","14","12","57","14","61","43","66","90","47","29","50",NA,"46","28","10","4","TRUE","105","8494","29835102","2983510","459841",""
"10","36.2","0","0","10","8470","460405","105","0","0","0","FALSE","D","D","D","CLE","","0","0","1","2000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","36.2","Cleveland Defense","2000","D","CLE","BAL","-1","4.9","10.9","-1.1","-0.8","2.5","5.77","3","0","100","13-16","-1.6",NA,"23.5","17.5","2","-6","41","51","2.33","43.58","50.11","4.67","1.23","4.37","7.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.93",NA,NA,NA,NA,NA,NA,"6.43","3.77","18.99","50","42","6","In","0.74","0","5","0",NA,"0","100","0","0","3","6.5","0",NA,"-0.6","-1100","42","21","35","14","48","25","21","28","19","15","65","9","61","49","68","55","19","53","58",NA,"43","35","10","4","TRUE","105","8470","29835902","2983590","460405",""
