"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","RB","Devonta Freeman","ATL",37.9,"$5,200","$137.20"
"2","WR","Vincent Jackson","TB",33.7,"$4,900","$145.40"
"3","WR","Allen Hurns","JAC",31.6,"$3,900","$123.42"
"4","RB","Le'Veon Bell","PIT",31,"$7,700","$248.39"
"5","WR","Tavon Austin","LA",29.6,"$3,700","$125.00"
"6","QB","Philip Rivers","SD",29.22,"$6,100","$208.76"
"7","WR","Jeremy Maclin","KC",28.8,"$5,800","$201.39"
"8","RB","Doug Martin","TB",28.3,"$4,400","$155.48"
"9","QB","Kirk Cousins","WAS",27.7,"$5,400","$194.95"
"10","WR","DeAndre Hopkins","HOU",27.7,"$7,300","$263.54"
"11","RB","Duke Johnson","CLE",26.6,"$3,100","$116.54"
"12","QB","Josh McCown","CLE",26.24,"$5,100","$194.36"
"13","RB","Chris Ivory","JAC",25.6,"$4,800","$187.50"
"14","QB","Drew Brees","NO",25.36,"$7,400","$291.80"
"15","TE","Martellus Bennett","NE",25.3,"$4,500","$177.87"
"16","WR","Leonard Hankerson","BUF",25.3,"$3,700","$146.25"
"17","QB","Sam Bradford","PHI",24.2,"$6,000","$247.93"
"18","RB","Jeremy Hill","CIN",24,"$6,500","$270.83"
"19","TE","Coby Fleener","NO",23.3,"$3,200","$137.34"
"20","TE","Charles Clay","BUF",23.1,"$3,300","$142.86"
"21","WR","Brandon Marshall","NYJ",22.8,"$6,800","$298.25"
"22","WR","Mike Wallace","BAL",22.3,"$4,400","$197.31"
"23","DEF","Detroit Lions","DET",22,"$2,700","$122.73"
"24","RB","C.J. Spiller","NO",21.9,"$3,900","$178.08"
"25","QB","Andy Dalton","CIN",21.44,"$5,900","$275.19"
"26","RB","Todd Gurley","LA",21.1,"$4,300","$203.79"
"27","DEF","Atlanta Falcons","ATL",21,"$2,900","$138.10"
"28","QB","Alex Smith","KC",20.94,"$5,600","$267.43"
"29","RB","Ronnie Hillman","DEN",20.8,"$4,700","$225.96"
"30","RB","Jamaal Charles","KC",20.5,"$7,600","$370.73"
"31","QB","Carson Palmer","ARI",19.98,"$6,800","$340.34"
"32","WR","Cecil Shorts III","HOU",19.7,"$3,500","$177.66"
"33","TE","Gary Barnidge","CLE",19.5,"$3,100","$158.97"
"34","RB","Adrian Peterson","MIN",19.4,"$7,800","$402.06"
"35","QB","Eli Manning","NYG",19.28,"$7,000","$363.07"
"36","WR","Kenny Stills","MIA",19.1,"$3,000","$157.07"
"37","QB","Blake Bortles","JAC",19.02,"$5,100","$268.14"
"38","RB","Mark Ingram","NO",18.8,"$6,000","$319.15"
"39","QB","Nick Foles","KC",18.74,"$5,100","$272.15"
"40","WR","Kamar Aiken","BAL",18.7,"$3,300","$176.47"
"41","WR","Pierre Garcon","WAS",18.5,"$5,300","$286.49"
"42","RB","Matt Forte","NYJ",18.5,"$7,100","$383.78"
"43","WR","Eddie Royal","CHI",18.4,"$3,700","$201.09"
"44","WR","Demaryius Thomas","DEN",18.3,"$8,100","$442.62"
"45","QB","Jay Cutler","CHI",18.24,"$5,500","$301.54"
"46","DEF","Carolina Panthers","CAR",18,"$3,300","$183.33"
"47","RB","Justin Forsett","BAL",18,"$6,000","$333.33"
"48","RB","Danny Woodhead","SD",17.8,"$4,600","$258.43"
"49","QB","Russell Wilson","SEA",17.48,"$7,100","$406.18"
"50","QB","Brian Hoyer","CHI",17.28,"$5,000","$289.35"
"51","WR","Keenan Allen","SD",17.2,"$7,000","$406.98"
"52","RB","Rashad Jennings","NYG",17.2,"$4,200","$244.19"
"53","RB","David Johnson","ARI",17.1,"$4,200","$245.61"
"54","QB","Cam Newton","CAR",17.06,"$7,000","$410.32"
"55","QB","Jameis Winston","TB",16.68,"$5,100","$305.76"
"56","QB","Aaron Rodgers","GB",16.26,"$7,900","$485.85"
"57","WR","Dwayne Harris","NYG",16.1,"$3,000","$186.34"
"58","QB","Teddy Bridgewater","MIN",16.06,"$5,700","$354.92"
"59","RB","Karlos Williams","BUF",16,"$3,400","$212.50"
"60","RB","Terron Ward","ATL",16,"$3,000","$187.50"
"61","RB","T.J. Yeldon","JAC",15.9,"$4,400","$276.73"
"62","WR","Larry Fitzgerald","ARI",15.9,"$6,500","$408.81"
"63","WR","Ted Ginn Jr.","CAR",15.8,"$3,400","$215.19"
"64","WR","John Brown","ARI",15.8,"$5,100","$322.78"
"65","RB","Isaiah Crowell","CLE",15.5,"$4,100","$264.52"
"66","TE","Richard Rodgers","GB",15.5,"$2,500","$161.29"
"67","QB","Tyrod Taylor","BUF",15.46,"$5,800","$375.16"
"68","QB","Matt Hasselbeck","IND",15.38,"$5,000","$325.10"
"69","TE","Ladarius Green","PIT",15.3,"$3,200","$209.15"
"70","WR","A.J. Green","CIN",15.2,"$7,600","$500.00"
"71","WR","Riley Cooper","PHI",15.2,"$3,000","$197.37"
"72","QB","Ryan Fitzpatrick","NYJ",15.12,"$5,100","$337.30"
"73","DEF","Green Bay Packers","GB",15,"$2,700","$180.00"
"74","WR","Amari Cooper","OAK",14.9,"$6,300","$422.82"
"75","WR","Willie Snead","NO",14.9,"$3,000","$201.34"
"76","QB","Derek Carr","OAK",14.84,"$5,300","$357.14"
"77","WR","James Jones","SD",14.8,"$5,300","$358.11"
"78","WR","Stefon Diggs","MIN",14.7,"$3,000","$204.08"
"79","WR","Eric Decker","NYJ",14.6,"$4,800","$328.77"
"80","QB","Brandon Weeden","HOU",14.34,"$5,100","$355.65"
"81","QB","Ryan Tannehill","MIA",14.32,"$6,200","$432.96"
"82","RB","Charles Sims","TB",14.3,"$3,600","$251.75"
"83","QB","Matt Ryan","ATL",14.14,"$6,900","$487.98"
"84","RB","Chris Polk","HOU",14,"$3,300","$235.71"
"85","WR","Marquess Wilson","CHI",14,"$3,000","$214.29"
"86","WR","Travis Benjamin","SD",13.9,"$4,500","$323.74"
"87","WR","Terrance Williams","DAL",13.9,"$4,500","$323.74"
"88","WR","T.Y. Hilton","IND",13.7,"$6,700","$489.05"
"89","WR","Donte Moncrief","IND",13.5,"$5,000","$370.37"
"90","WR","Jamison Crowder","WAS",13.5,"$3,200","$237.04"
"91","WR","Darrius Heyward-Bey","PIT",13.1,"$3,600","$274.81"
"92","WR","Miles Austin","PHI",13.1,"$3,000","$229.01"
"93","WR","Michael Crabtree","OAK",13,"$4,600","$353.85"
"94","WR","Adam Thielen","MIN",13,"$3,000","$230.77"
"95","RB","Frank Gore","IND",12.7,"$4,700","$370.08"
"96","WR","Doug Baldwin","SEA",12.6,"$4,200","$333.33"
"97","WR","Brandon Tate","CIN",12.5,"$3,000","$240.00"
"98","WR","Mohamed Sanu","ATL",12.4,"$3,100","$250.00"
"99","RB","Chris Johnson","ARI",12.4,"$4,500","$362.90"
"100","QB","Michael Vick","PIT",12.26,"$5,000","$407.83"
"101","RB","Giovani Bernard","CIN",12.2,"$5,000","$409.84"
"102","WR","Cole Beasley","DAL",12.2,"$3,300","$270.49"
"103","WR","Rueben Randle","PHI",12.1,"$4,500","$371.90"
"104","WR","Allen Robinson","JAC",12,"$5,500","$458.33"
"105","WR","Dontrelle Inman","SD",11.8,"$3,000","$254.24"
"106","WR","Calvin Johnson","DET",11.6,"$7,500","$646.55"
