"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Philip Rivers","SD","$6,100",29.22,"$208.76"
"2","RB1","Le'Veon Bell","PIT","$7,700",31,"$248.39"
"3","RB2","Devonta Freeman","ATL","$5,200",37.9,"$137.20"
"4","WR1","Allen Hurns","JAC","$3,900",31.6,"$123.42"
"5","WR2","Tavon Austin","LA","$3,700",29.6,"$125.00"
"6","WR3","Vincent Jackson","TB","$4,900",33.7,"$145.40"
"7","TE1","Martellus Bennett","NE","$4,500",25.3,"$177.87"
"8","FLEX","Duke Johnson","CLE","$3,100",26.6,"$116.54"
"9","DEF","Detroit Lions","DET","$2,700",22,"$122.73"
"10"," "," "," ","$41,800",266.92," "
