"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $6M Millionaire Maker$6M Millionaire Maker (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$20.00","311,961","$6,000,000$6kk","$1,000,000.00",161.94,266.54,"gvalstyle"
"2","NFL $1.25M Play-Action$1.25M Play-Action (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$3.00","479,166","$1,250,000$1,250k","$100,000.00",162.44,261.14,"purplepeapleeater"
"3","NFL MASSIVE $25 Double UpMASSIVE $25 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$25.00","38,462","$850,000$850k","$50.00",151.24,242.24,"mr.805"
"4","NFL $700K Blitz$700K Blitz (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$300.00","2,458","$700,000$700k","$100,000.00",166.72,256.44,"BABYKAIYA"
"5","NFL $450K Slant$450K Slant (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$9.00","57,471","$450,000$450k","$30,000.00",164.64,257.04,"TheClone"
"6","NFL MASSIVE $5 Double UpMASSIVE $5 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$5.00","68,100","$300,000$300k","$10.00",150.84,251.94,"golfe"
"7","NFL $225K Game Changer$225K Game Changer (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$1,060.00","219","$225,000$225k","$50,000.00",170.24,222.04,"CSURAM88"
"8","NFL $200K Flea Flicker$200K Flea Flicker (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$5.00","46,000","$200,000$200k","$20,000.00",164.34,254.24,"devobrain"
"9","NFL $200K Hot Route$200K Hot Route (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$100.00","2,222","$200,000$200k","$30,000.00",168.46,256.44,"BABYKAIYA"
"10","NFL $175K Thunderdome$175K Thunderdome (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$5,300.00","34","$175,000$175k","$50,000.00",168.22,195.7,"EmpireMaker2"
"11","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$50.00","3,360","$150,000$150k","$100.00",150.94,218.6,"Praetorian10"
"12","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$10.00","17,025","$150,000$150k","$20.00",150.84,228.44,"volhiker"
"13","NFL $150K Chop Block$150K Chop Block (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$50.00","3,333","$150,000$150k","$20,000.00",166.24,256.44,"BABYKAIYA"
"14","NFL $125K First Down$125K First Down (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$1.00","143,750","$125,000$125k","$10,000.00",163.54,264.94,"BlairNeal"
"15","NFL MASSIVE $100 Double UpMASSIVE $100 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$100.00","1,333","$120,000$120k","$200.00",149.24,213.4,"SuicideDawg"
"16","NFL $100K Double Bubble$100K Double Bubble (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",150.04,253.04,"Kwanenj7"
"17","NFL $100K Super Booster$100K Super Booster (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$27.00","4,200","$100,000$100k","$1,000.00",198.78,237.04,"jkidd1084"
"18","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",163.44,248.24,"esmall205"
"19","NFL MASSIVE $1,000 Double UpMASSIVE $1,000 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$1,000.00","85","$80,000$80k","$2,000.00",151.94,207.84,"pacheezie"
"20","NFL $75K Hail Mary$75K Hail Mary (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$12.00","7,162","$75,000$75k","$6,000.00",164.54,257.04,"TheClone"
"21","NFL MASSIVE $2 Double UpMASSIVE $2 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$2.00","42,560","$75,000$75k","$4.00",151.24,243.64,"filboss2003"
"22","NFL MASSIVE $500 Double UpMASSIVE $500 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$500.00","150","$70,000$70k","$1,000.00",149.24,204.14,"lastplacejoeyc"
"23","NFL MASSIVE $250 Double UpMASSIVE $250 Double Up (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$250.00","311","$70,000$70k","$500.00",149.24,205.74,"Dastaceman"
"24","NFL BIG $10 BoosterBIG $10 Booster (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$10.00","6,810","$60,000$60k","$100.00",178.94,239.04,"ob2121"
"25","NFL $50K Quarter Arcade$50K Quarter Arcade (11/1/2015 1:00:00 PM)","11/1/2015 1:00:00 PM","$0.25","235,000","$50,000$50k","$2,000.00",162.8,259.84,"skarb"
