"","Score","ProjPoints","Points","ActualPoints","PlayerId","FantasyResultId","PositionId","LineupCount","CurrentExposure","ExposureProbability","IsExposureLocked","FirstPosition","Positions","Position","TeamName","FullName","Cnt","Correlation","PositionCount","Salary","IsLocked","IsExcluded","Exposure","IsLiked","Properties.IsLocked","Properties.InjuryStatus","Properties.Confirmed","Properties.IsExcluded","Properties.Score","Properties.Player_Name","Properties.Salary","Properties.Position","Properties.Team","Properties.Opposing_TeamFB","Properties.Exp","Properties.AvgPts","Properties.Ceiling","Properties.Floor","Properties.ProjPlusMinus","Properties.PtVal","Properties.ImpPts","Properties.Trend","Properties.MyTrends","Properties.Site_Salary","Properties.p_own","Properties.OppPlusMinus","Properties.OffensiveSnapsPlayed","Properties.Pts","Properties.OppPts","Properties.Run_Change","Properties.Spread","Properties.Total","Properties.SpreadPct","Properties.InterceptionPct","Properties.PassingSuccessfulPct","Properties.RushingSuccessfulAllowedPct","Properties.SackPct","Properties.TakeawayPct","Properties.TouchdownAllowedPct","Properties.YardsPerPassingAttempt","Properties.ReceivingTargetsMarketShare","Properties.ReceivingTouchdownsMarketShare","Properties.ReceivingYardsMarketShare","Properties.RushingTouchdownsMarketShare","Properties.RushingYardsMarketShare","Properties.OffensiveSnapsMarketShare","Properties.PassingCompletions","Properties.PassingAttempts","Properties.PassYards","Properties.PassingCompletionPercentage","Properties.PassingYardsPerAttempt","Properties.AdjYPA","Properties.PassingTouchdowns","Properties.PassingRating","Properties.PassingLong","Properties.PassingAttemptsRBPct","Properties.PassingAttemptsWRPct","Properties.PassingAttemptsTEPct","Properties.PassTDPct","Properties.PassINTPct","Properties.PassSackPct","Properties.RushingAttempts","Properties.RushingLong","Properties.RushYards","Properties.RushingYardsPerAttempt","Properties.RushingTouchdowns","Properties.RushingSuccessfulPct","Properties.ReceiveTgts","Properties.Receptions","Properties.ReceivingYards","Properties.ReceivingLong","Properties.ReceivingYardsPerReception","Properties.ReceivingTouchdowns","Properties.ReceivingYardsPerTarget","Properties.RedZoneSnaps","Properties.OpportunitiesRedZone","Properties.OpportunitiesRedZone10","Properties.OpportunitiesRedZone5","Properties.RushingTouchdownsRedZonePct","Properties.ReceivingTouchdownsRedZonePct","Properties.RushingSuccessfulPctRedZone","Properties.RedZoneSnaps10","Properties.RedZoneSnaps5","Properties.RedZoneTouchdownPct","Properties.WeatherRating","Properties.Temperature","Properties.Wind_Speed","Properties.Wind_Direction","Properties.Humidity","Properties.PrecipProb","Properties.Month_PPG","Properties.Month_FPOpp","Properties.Month_FPSnap","Properties.Month_Salary_Change","Properties.Month_X1","Properties.Month_X2","Properties.Month_X0","Properties.Month_Count","Properties.Season_PPG","Properties.Season_FPOpp","Properties.Season_FPSnap","Properties.Season_Plus_Minus","Properties.Season_Salary_Change","Properties.Season_X1","Properties.Season_X2","Properties.Season_X0","Properties.Season_Count","Properties.ExpectedSacksPct","Properties.OppPlusMinusPct","Properties.ProjPlaysPct","Properties.MktShrPct","Properties.CeilingPct","Properties.ProjPct","Properties.PtPerDPct","Properties.FloorPct","Properties.FloorPtPerDPct","Properties.ProjPlusMinusPct","Properties.Vegas","Properties.Salary_Movement","Properties.Consistency","Properties.Upside","Properties.Pro_Pct","Properties.RushingFantasyPct","Properties.Plus_Minus","Properties.Season_PPG_Percentile","Properties.ActualPoints","Properties.SourceId","Properties.IsProjected","Properties.PositionId","Properties.PlayerId","Properties.EventTeamId","Properties.EventId","Properties.FantasyResultId","Properties.FullName"
"1","67.32","0","0","30.5","7544","444901","104","0","0","0","FALSE","TE","TE","TE","TEN","","0","0","1","4200","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","67.32","Delanie Walker","4200","TE","TEN","@NO","-1","12.6","16.7","8.5","4.53","3","7.61","11","0","11","5-8","2.9","44","21.5","28.5","1.2","7","50","30","2.58","49.36","43.9","7.3","1.31","4.91","7.35","19.9","5.9","23.6","0","0","68.9","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"6","4","55","19","12.3","0.1","8.2","9.53","0.86","0.43","0.21",NA,"25",NA,"5.07","2.62","20.28","50","72","0",NA,"0","0","12.5","1.61","0.28","400","25","75","0","4","11.5","1.75","0.26","4","800","46","46","7","13","73","78","15","65","92","92","92","92","67","92","49","11","94","88","97",NA,"90","87","30.5","4","TRUE","104","7544","29585301","2958530","444901",""
"2","46.06","0","0","28.3","2749","444493","104","0","0","0","FALSE","TE","TE","TE","CIN","","0","0","1","5400","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","46.06","Tyler Eifert","5400","TE","CIN","CLE","-1","11.3","15","7.6","-0.18","2.1","9.89","11","0","2","","1","65","29.3","16.3","0.5","-13","45.5","59","3.26","49.82","46.54","4.89","1.98","3.07","6.92","21.2","40","19.4","0","0","96.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"6","4","54","19","11.9","0.9","7.9","6.87","1.29","0.57","0.14",NA,"66.7",NA,"4.38","3.71","17.48","50","65","4","In","0.76","10","16.6","2.08","0.24","800","66","33","0","3","15.6","2.27","0.24","6.4","1900","42","42","14","7","35","38","90","93","87","87","63","88","48","47","96","5","92","72","97",NA,"97","95","28.3","4","TRUE","104","2749","29575002","2957500","444493",""
"3","58.65","0","0","25.2","2413","445022","104","0","0","0","FALSE","TE","TE","TE","DEN","","0","0","1","2600","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","58.65","Owen Daniels","2600","TE","DEN","@IND","-1","3.9","5.6","2.2","0.37","1.5","4.57","1","0","79","0-1","3.1","58","24.3","20.8","0.3","-3.5","45","76","3.54","43.2","38.73","8.38","2.17","3.62","5.74","13.2","16.7","9.4","0","0","87.7","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"4","2","23","14","10.3","0.2","6","7.07","0.79","0.21","0.21",NA,"27.3",NA,"3","2.08","20.75","50","48","2","In","0.48","0","3.9","1.07","0.08","-100","66","0","33","3","5.9","1.27","0.1","1","-800","71","21","7","14","8","82","90","55","46","46","48","46","38","52","74","83","71","35","4",NA,"66","64","25.2","4","TRUE","104","2413","29585801","2958580","445022",""
"4","61.79","0","0","19.7","1391","448953","104","0","0","0","FALSE","TE","TE","TE","CHI","","0","0","1","4900","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","61.79","Martellus Bennett","4900","TE","CHI","@SD","-1","12.8","16.9","8.7","2.74","2.6","8.94","8","0","2","2-4","2.4","64","22.8","26.3","-1","3.5","49","39","2.04","51.53","50.5","6.31","1.13","4.58","7.78","21.8","14.3","20.4","0","0","94.9","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","5","48","17","9","0.2","5.8","9.47","1.07","0.27","0.27",NA,"25",NA,"4.85","2.89","22.54","50","60","6","To Left","0.68","6","8.4","0.94","0.12","-100","66","0","33","3","12.1","1.49","0.19","2.1","600","42","28","28","14","82","68","15","75","93","93","81","93","59","77","61","83","71","48","84",NA,"76","89","19.7","4","TRUE","104","1391","29586001","2958600","448953",""
"5","64.03","0","0","18.9","6335","444951","104","0","0","0","FALSE","TE","TE","TE","GB","","0","0","1","3000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","64.03","Richard Rodgers","3000","TE","GB","@CAR","-1","9.8","13.1","6.5","5.13","3.3","5.33","4","0","22","0-1","2.1","41","23.8","21.8","-0.7","-2","45.5","69","3.12","46.06","46.83","8.44","1.85","3.68","7.09","11.1","11.8","8.2","0","0.6","62.8","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","11","0","100","3","2","21","12","8.9","0.3","5.7","9.2","0.53","0.4","0.27",NA,"37.5",NA,"5.08","2.85","18.84","50","53","4","In","0.61","18","6.5","1.15","0.13","100","66","33","0","3","6.3","1.76","0.15","2.1","500","53","33","13","15","64","61","46","45","80","80","96","81","70","95","70","18","84","58","48",NA,"76","66","18.9","4","TRUE","104","6335","29585501","2958550","444951",""
"6","48.96","0","0","16.6","5651","444961","104","0","0","0","FALSE","TE","TE","TE","CAR","","0","0","1","6500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","48.96","Greg Olsen","6500","TE","CAR","GB","-1","15.9","20.9","10.9","1.3","2.5","11.98","12","0","0","5-8","0.2","70","21.8","23.8","-0.2","2","45.5","31","3.09","43.19","39.59","7.26","1.92","3.14","5.91","26.7","22.7","31.5","0","0","99.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","5","70","24","13.7","0.4","8.4","7.46","1.43","0.36","0.14",NA,"20",NA,"2.92","1.63","21.65","50","53","4","In","0.61","18","19.5","2.09","0.28","1000","0","66","33","3","15.2","1.79","0.22","3.6","1200","21","42","35","14","10","19","79","92","98","98","76","98","54","61","52","4","79","72","99",NA,"88","95","16.6","4","TRUE","104","5651","29585502","2958550","444961",""
"7","77.22","0","0","15.2","2046","444980","104","0","0","0","FALSE","TE","TE","TE","SF","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","77.22","Garrett Celek","2500","TE","SF","ATL","-1","7.9","10.9","4.9","4.65","3.2","4.38","4","0","69","0-1","3.5","33","17","26.5","-3.3","9.5","43.5","23","4.17","57.14","48.92","7.34","2.06","3.91","7.92","8.5","14.3","9.9","0","0","54.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"2","1","19","12","11.3","0.1","9.6","9.13","0.3","0.2","0.2",NA,"33.3",NA,"5.46","3.62","20.44","50","59","6","Right To Left","0.75","0","4.5","1.99","0.12","0","0","33","66","3","4.7","1.88","0.14","1.1","0","66","11","22","9","68","87","10","53","70","69","95","68","67","92","9","80","59","58","48",NA,"67","54","15.2","4","TRUE","104","2046","29585602","2958560","444980",""
"8","62.24","0","0","12.9","3144","448774","104","0","0","0","FALSE","TE","TE","TE","SD","","0","0","1","4700","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","62.24","Antonio Gates","4700","TE","SD","CHI","-1","14.1","18.6","9.6","4.61","3","8.56","11","0","11","13-16","0.3","49","26.3","22.8","-1.5","-3.5","49","61","1.6","47.26","46.06","5.94","0.81","4.25","7.59","15.7","23.8","18","0","0","67.9","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"6","5","56","17","11.1","0.5","7.9","10.5","1.18","0.27","0.18",NA,"30.8",NA,"5.54","3.17","12.93","50","60","6","To Left","0.68","6","19.4","2.43","0.5","500","33","66","0","3","14.8","2.17","0.3","5","500","30","50","20","10","57","23","64","96","96","96","92","96","67","92","86","9","71","86","97",NA,"94","94","12.9","4","TRUE","104","3144","29586002","2958600","448774",""
"9","55.12","0","0","12.3","2855","444895","104","0","0","0","FALSE","TE","TE","TE","TEN","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","55.12","Anthony Fasano","2500","TE","TEN","@NO","-1","3.8","5.5","2.1","0.55","1.5","4.38","1","0","69","0-1","2.9","31","21.5","28.5","1.2","7","50","30","2.58","49.36","43.9","7.3","1.31","4.91","7.35","5.8","17.6","6.7","0","0","48.6","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"1","1","15","10","11.5","0.2","7.3","9.53","0.64","0.14","0",NA,"33.3",NA,"5.07","2.62","20.28","50","72","0",NA,"0","0","2.3","1.01","0.08","0","25","0","75","4","4.2","2.18","0.14","0.2","0","28","21","50","14","73","78","15","30","45","45","48","45","36","54","49","80","43","48","4",NA,"58","50","12.3","4","TRUE","104","2855","29585301","2958530","444895",""
"10","82.77","0","0","12.1","7121","444971","104","0","0","0","FALSE","TE","TE","TE","ATL","","0","0","1","3000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","82.77","Jacob Tamme","3000","TE","ATL","@SF","-1","10.2","13.6","6.8","5.53","3.4","5.33","10","0","86","5-8","3.9","33","26.5","17","2.2","-9.5","43.5","77","3.15","52.15","44.12","4.14","1.95","4.19","7.37","10.1","3.8","9.6","0","0","45.3","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"3","2","28","11","10.5","0.1","5","9.25","0.6","0.07","0.07",NA,"11.1",NA,"4.56","2.64","22.3","50","59","6","Right To Left","0.75","0","14.9","1.8","0.25","500","50","50","0","4","6.4","1.64","0.2","2.1","400","35","21","42","14","60","90","90","57","82","82","97","83","75","97","88","9","71","48","94",NA,"76","66","12.1","4","TRUE","104","7121","29585601","2958560","444971",""
